Table--Socket

+-------+---------------------------+-------------------+----------+-------------------+------------------+-------------+--------------+------------------+------------------+--------------+---------------+-------------------+-------------------+---------------+----------------------+--------------------------+--------------------------+----------------------+-----------------------+---------------------------+---------------------------+-----------------------+--------------+---------------+
|  Row  |          Address          |       Class       |  Object  |  Aggr. Time (ms)  |  Life Time (ms)  |    When     |  Read.Bytes  |  Read.Bytes.Min  |  Read.Bytes.Max  |  Read.Count  |  Write.Bytes  |  Write.Bytes.Min  |  Write.Bytes.Max  |  Write.Count  |  Channel Read.Bytes  |  Channel Read.Bytes.Min  |  Channel Read.Bytes.Max  |  Channel Read.Count  |  Channel Write.Bytes  |  Channel Write.Bytes.Min  |  Channel Write.Bytes.Max  |  Channel Write.Count  |  Open.Count  |  Close.Count  |
|  #19  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #145  |                1  |               5  |  14s 249ms  |         996  |             996  |             996  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #20  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #149  |                0  |               4  |  14s 251ms  |         991  |             991  |             991  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #21  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #155  |                0  |               1  |  14s 268ms  |         992  |             992  |             992  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #22  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #159  |                3  |               5  |  15s 630ms  |       1,116  |           1,116  |           1,116  |           1  |          122  |              122  |              122  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #23  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #162  |               56  |              57  |  15s 630ms  |         996  |             996  |             996  |           1  |        2,297  |            2,297  |            2,297  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #24  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #167  |                4  |               5  |  16s 830ms  |       1,116  |           1,116  |           1,116  |           1  |        1,389  |            1,389  |            1,389  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #25  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #170  |               41  |              51  |  16s 831ms  |         988  |             988  |             988  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #26  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #175  |                1  |              11  |  16s 870ms  |         992  |             992  |             992  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #27  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #177  |                1  |              11  |  16s 871ms  |         996  |             996  |             996  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
|  #28  |  /[0:0:0:0:0:0:0:1]:8080  |  java.net.Socket  |    #183  |                0  |               3  |  16s 880ms  |         991  |             991  |             991  |           1  |       10,547  |           10,547  |           10,547  |            1  |                   0  |                       0  |                       0  |                   0  |                    0  |                        0  |                        0  |                    0  |           1  |            1  |
